,floral_host,bee_genus_species,imidacloprid_ppb,percent_days_paralyzed
173,CUCURBITA,BOMBUS,100,93
174,SUNFLOWER,BOMBUS,0,0
175,SUNFLOWER,BOMBUS,5,0
176,SUNFLOWER,BOMBUS,20,83
177,SUNFLOWER,BOMBUS,100,100
178,SUNFLOWER,BOMBUS,0,18
179,SUNFLOWER,BOMBUS,0,0
180,SUNFLOWER,BOMBUS,5,0
181,SUNFLOWER,BOMBUS,20,100
182,SUNFLOWER,BOMBUS,20,75
183,SUNFLOWER,BOMBUS,100,100
184,OKRA,BOMBUS,100,100
185,OKRA,BOMBUS,0,9
186,SUNFLOWER,BOMBUS,0,0
187,SUNFLOWER,BOMBUS,0,0
188,SUNFLOWER,BOMBUS,0,0
189,SUNFLOWER,BOMBUS,0,0
190,SUNFLOWER,BOMBUS,5,0
191,SUNFLOWER,BOMBUS,5,100
192,SUNFLOWER,BOMBUS,5,100
193,SUNFLOWER,BOMBUS,5,100
194,SUNFLOWER,BOMBUS,20,0
195,SUNFLOWER,BOMBUS,20,0
196,SUNFLOWER,BOMBUS,20,0
197,SUNFLOWER,BOMBUS,20,100
198,SUNFLOWER,BOMBUS,100,0
199,SUNFLOWER,BOMBUS,100,100
200,SUNFLOWER,BOMBUS,100,100
201,SUNFLOWER,BOMBUS,100,100
202,SUNFLOWER,BOMBUS,0,0
203,SUNFLOWER,BOMBUS,0,0
204,SUNFLOWER,BOMBUS,0,0
205,SUNFLOWER,BOMBUS,0,0
206,SUNFLOWER,BOMBUS,5,100
207,SUNFLOWER,BOMBUS,5,100
208,SUNFLOWER,BOMBUS,5,100
209,SUNFLOWER,BOMBUS,5,0
210,SUNFLOWER,BOMBUS,20,100
211,SUNFLOWER,BOMBUS,20,100
212,SUNFLOWER,BOMBUS,20,100
213,SUNFLOWER,BOMBUS,20,100
214,SUNFLOWER,BOMBUS,100,100
215,SUNFLOWER,BOMBUS,100,100
216,SUNFLOWER,BOMBUS,100,100
217,SUNFLOWER,BOMBUS,100,100
218,SUNFLOWER,BOMBUS,0,0
219,SUNFLOWER,BOMBUS,20,75
220,SUNFLOWER,BOMBUS,0,0
221,SUNFLOWER,BOMBUS,0,0
222,SUNFLOWER,BOMBUS,0,0
223,SUNFLOWER,BOMBUS,0,0
224,SUNFLOWER,BOMBUS,5,100
225,SUNFLOWER,BOMBUS,5,100
226,SUNFLOWER,BOMBUS,5,100
227,SUNFLOWER,BOMBUS,5,13
228,SUNFLOWER,BOMBUS,20,25
229,SUNFLOWER,BOMBUS,20,100
230,SUNFLOWER,BOMBUS,20,100
231,SUNFLOWER,BOMBUS,20,100
232,SUNFLOWER,BOMBUS,100,100
233,SUNFLOWER,BOMBUS,100,100
234,SUNFLOWER,BOMBUS,100,100
235,SUNFLOWER,BOMBUS,100,100
236,CUCURBITA,BOMBUS,0,0
237,SUNFLOWER,BOMBUS,20,100
238,SUNFLOWER,BOMBUS,0,0
239,SUNFLOWER,BOMBUS,5,0
240,SUNFLOWER,BOMBUS,5,67
241,SUNFLOWER,BOMBUS,5,75
242,SUNFLOWER,BOMBUS,20,0
243,SUNFLOWER,BOMBUS,100,50
244,SUNFLOWER,DIEUNOMIA,20,0
245,VACCINIUM,HABROPOD,0,0
246,VACCINIUM,HABROPOD,0,0
247,VACCINIUM,HABROPOD,0,0
248,VACCINIUM,HABROPOD,0,0
249,VACCINIUM,HABROPOD,0,0
250,VACCINIUM,HABROPOD,5,67
251,VACCINIUM,HABROPOD,5,67
252,VACCINIUM,HABROPOD,5,33
253,VACCINIUM,HABROPOD,5,0
254,VACCINIUM,HABROPOD,5,25
255,VACCINIUM,HABROPOD,20,100
256,VACCINIUM,HABROPOD,20,29
257,VACCINIUM,HABROPOD,20,100
258,VACCINIUM,HABROPOD,20,78
259,VACCINIUM,HABROPOD,20,64
260,VACCINIUM,HABROPOD,100,0
261,VACCINIUM,HABROPOD,100,100
262,VACCINIUM,HABROPOD,100,100
263,VACCINIUM,HABROPOD,100,100
264,VACCINIUM,HABROPOD,100,86
265,VACCINIUM,HABROPOD,0,0
266,VACCINIUM,HABROPOD,0,0
267,VACCINIUM,HABROPOD,0,0
268,VACCINIUM,HABROPOD,0,0
269,VACCINIUM,HABROPOD,0,0
270,VACCINIUM,HABROPOD,0,0
271,VACCINIUM,HABROPOD,0,0
272,VACCINIUM,HABROPOD,0,5
273,VACCINIUM,HABROPOD,0,5
274,VACCINIUM,HABROPOD,0,0
275,VACCINIUM,HABROPOD,5,0
276,VACCINIUM,HABROPOD,5,0
277,VACCINIUM,HABROPOD,5,33
278,VACCINIUM,HABROPOD,5,33
279,VACCINIUM,HABROPOD,5,25
280,VACCINIUM,HABROPOD,5,0
281,VACCINIUM,HABROPOD,5,25
282,VACCINIUM,HABROPOD,5,40
283,VACCINIUM,HABROPOD,5,33
284,VACCINIUM,HABROPOD,5,33
285,VACCINIUM,HABROPOD,20,0
286,VACCINIUM,HABROPOD,20,100
287,VACCINIUM,HABROPOD,20,100
288,VACCINIUM,HABROPOD,20,100
289,VACCINIUM,HABROPOD,20,25
290,VACCINIUM,HABROPOD,20,25
291,VACCINIUM,HABROPOD,20,75
292,VACCINIUM,HABROPOD,20,20
293,VACCINIUM,HABROPOD,20,100
294,VACCINIUM,HABROPOD,20,17
295,VACCINIUM,HABROPOD,100,100
296,VACCINIUM,HABROPOD,100,50
297,VACCINIUM,HABROPOD,100,50
298,VACCINIUM,HABROPOD,100,100
299,VACCINIUM,HABROPOD,100,100
300,VACCINIUM,HABROPOD,100,33
301,VACCINIUM,HABROPOD,100,50
302,VACCINIUM,HABROPOD,100,100
303,VACCINIUM,HABROPOD,100,33
304,VACCINIUM,HABROPOD,100,100
305,VACCINIUM,HABROPOD,0,0
306,VACCINIUM,HABROPOD,0,0
307,VACCINIUM,HABROPOD,0,0
308,VACCINIUM,HABROPOD,0,0
309,VACCINIUM,HABROPOD,0,0
310,VACCINIUM,HABROPOD,0,0
311,VACCINIUM,HABROPOD,5,0
312,VACCINIUM,HABROPOD,5,0
313,VACCINIUM,HABROPOD,5,0
314,VACCINIUM,HABROPOD,5,50
315,VACCINIUM,HABROPOD,5,50
316,VACCINIUM,HABROPOD,5,0
317,VACCINIUM,HABROPOD,20,50
318,VACCINIUM,HABROPOD,20,50
319,VACCINIUM,HABROPOD,20,100
320,VACCINIUM,HABROPOD,20,100
321,VACCINIUM,HABROPOD,20,33
322,VACCINIUM,HABROPOD,20,67
323,VACCINIUM,HABROPOD,100,0
324,VACCINIUM,HABROPOD,100,100
325,VACCINIUM,HABROPOD,100,100
326,VACCINIUM,HABROPOD,100,100
327,VACCINIUM,HABROPOD,100,100
328,VACCINIUM,HABROPOD,100,60
329,SUNFLOWER,HALICTUS,20,83
330,SUNFLOWER,HALICTUS,0,20
331,SUNFLOWER,HALICTUS,0,0
332,SUNFLOWER,HALICTUS,0,3
333,SUNFLOWER,HALICTUS,5,40
